–езультаты расчета
ar/ћес€ц   S1   S2   S3   S4   S5   S6   S7   S8   S9   S10   Sдоп1   Sдоп2   Sдоп3   —умма      
0,67/ 3   9,465   38,598   38,598   494,781   3,150   10,223   278,034   190,519   23,039   55,963   0,000   0,000   0,000   1063,368      
0,67/ 4   12,620   51,465   51,465   371,086   2,362   7,667   208,525   142,889   17,280   41,972   0,000   0,000   0,000   848,079      
0,67/ 5   15,776   64,331   64,331   296,869   1,890   6,134   166,820   114,312   13,824   33,578   0,000   0,000   0,000   730,463      
0,67/ 6   18,931   77,197   77,197   247,391   1,575   5,112   139,017   95,260   11,520   27,981   0,000   0,000   0,000   661,68      
0,67/ 7   22,086   90,063   90,063   212,049   1,350   4,381   119,157   81,651   9,874   23,984   0,000   0,000   0,000   620,8      
0,67/ 8   25,241   102,929   102,929   185,543   1,181   3,834   104,263   71,445   8,640   20,986   0,000   0,000   0,000   597,365      
0,67/ 9   28,396   115,795   115,795   164,927   1,050   3,408   92,678   63,506   7,680   18,654   0,000   0,000   0,000   585,555      
0,67/10   31,551   128,662   128,662   148,434   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   581,887      
0,67/11   34,706   141,528   141,528   134,940   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   584,136      
0,67/12   37,861   154,394   154,394   123,695   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   590,825      
0,67/13   41,016   167,260   167,260   114,180   0,727   2,359   64,162   43,966   5,317   12,915   0,000   0,000   0,000   600,93      
0,67/14   44,172   180,126   180,126   106,025   0,675   2,191   59,579   40,826   4,937   11,992   0,000   0,000   0,000   613,72      
0,67/15   47,327   192,992   192,992   98,956   0,630   2,045   55,607   38,104   4,608   11,193   0,000   0,000   0,000   628,653      
0,67/16   50,482   205,859   205,859   92,771   0,591   1,917   52,131   35,722   4,320   10,493   0,000   0,000   0,000   645,332      
0,67/17   53,637   218,725   218,725   87,314   0,556   1,804   49,065   33,621   4,066   9,876   0,000   0,000   0,000   663,447      
0,67/18   56,792   231,591   231,591   82,464   0,525   1,704   46,339   31,753   3,840   9,327   0,000   0,000   0,000   682,759      
0,67/19   59,947   244,457   244,457   78,123   0,497   1,614   43,900   30,082   3,638   8,836   0,000   0,000   0,000   703,077      
0,67/20   63,102   257,323   257,323   74,217   0,472   1,533   41,705   28,578   3,456   8,394   0,000   0,000   0,000   724,253      
0,67/21   66,257   270,189   270,189   70,683   0,450   1,460   39,719   27,217   3,291   7,995   0,000   0,000   0,000   746,164      
0,67/22   69,412   283,056   283,056   67,470   0,429   1,394   37,914   25,980   3,142   7,631   0,000   0,000   0,000   768,711      
0,67/23   72,567   295,922   295,922   64,537   0,411   1,333   36,265   24,850   3,005   7,300   0,000   0,000   0,000   791,807      
0,67/25   78,878   321,654   321,654   59,374   0,378   1,227   33,364   22,862   2,765   6,716   0,000   0,000   0,000   839,391      
0,63/ 1   3,155   12,056   12,056   1390,877   9,449   30,670   834,102   571,558   69,118   167,889   0,000   0,000   0,000   2863,923      
0,63/ 2   6,310   24,112   24,112   695,438   4,724   15,335   417,051   285,779   34,559   83,944   0,000   0,000   0,000   1472,861      
0,63/ 3   9,465   36,168   36,168   463,626   3,150   10,223   278,034   190,519   23,039   55,963   0,000   0,000   0,000   1027,353      
0,63/ 4   12,620   48,224   48,224   347,719   2,362   7,667   208,525   142,889   17,280   41,972   0,000   0,000   0,000   818,23      
0,63/ 5   15,776   60,280   60,280   278,175   1,890   6,134   166,820   114,312   13,824   33,578   0,000   0,000   0,000   703,667      
0,63/ 6   18,931   72,336   72,336   231,813   1,575   5,112   139,017   95,260   11,520   27,981   0,000   0,000   0,000   636,38      
0,63/ 7   22,086   84,392   84,392   198,697   1,350   4,381   119,157   81,651   9,874   23,984   0,000   0,000   0,000   596,106      
0,63/ 8   25,241   96,448   96,448   173,860   1,181   3,834   104,263   71,445   8,640   20,986   0,000   0,000   0,000   572,72      
0,63/ 9   28,396   108,504   108,504   154,542   1,050   3,408   92,678   63,506   7,680   18,654   0,000   0,000   0,000   560,588      
0,63/10   31,551   120,560   120,560   139,088   0,945   3,067   83,410   57,156   6,912   16,789   0,000   0,000   0,000   556,337      
0,63/11   34,706   132,616   132,616   126,443   0,859   2,788   75,827   51,960   6,283   15,263   0,000   0,000   0,000   557,815      
0,63/12   37,861   144,672   144,672   115,906   0,787   2,556   69,508   47,630   5,760   13,991   0,000   0,000   0,000   563,592      
